Category,Audience Name,Description
Automotive,Automotive > Auto & Vehicle Ownership > Average Number of Vehicles > 3,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Average Number of Vehicles > 4,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Average Number of Vehicles > 5+,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Body Style > ATV/Snowmobile,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Body Style > AWD/4WD,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Body Style > Compact/Sub-compact,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Body Style > Convertible,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Body Style > Coupe,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Body Style > Crossover,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Body Style > Full Size,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Body Style > Hybrid/Electric,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Body Style > Luxury,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Body Style > Midsize,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Body Style > Minivan,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Body Style > Motorhome/RV/Trailer,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Body Style > Sedan,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Body Style > Sports Car,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Body Style > Sports Car > Luxury,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Body Style > Station Wagon,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Body Style > SUV,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Body Style > SUV > Compact,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Body Style > SUV > Hybrid,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Body Style > SUV > Premium,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Body Style > Truck > Commercial Truck,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Body Style > Truck > Pickup Truck,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Body Style > Van,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Body Style > Van > Commercial Van,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Body Style > Wagon/Hatchback,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Last Automobile Purchase-Joint Decision w/Other,"Neustar utilizes transaction data on 150+ million individuals, 100+ million households. These transactions capture VIN, make, model, year, as well as identifier information. Sources include point of sale and service, online insurance quotes, warranty companies, aftermarket repair companies, and car clubs. Neustar also utilizes a nationally recognized, opt-in survey of 25,000+ respondents. This representative study is the result of a comprehensive, continuously fielded survey inclusive of both English and Spanish speakers."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Acura > ILX,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Acura > MDX,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Acura > NSX,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Acura > RDX,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Acura > Tl,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Acura > TSX,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Audi > A3,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Audi > A4,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Audi > A5,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Audi > A6,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Audi > A7,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Audi > A8,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Audi > Allroad,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Audi > Q3,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Audi > Q5,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Audi > Q7,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Audi > R8,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Audi > S4,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Audi > S5,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Audi > tt,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Bentley > Flying Spur,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > BMW > 3 Series,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > BMW > 5 Series,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > BMW > 6 Series,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > BMW > 7 Series,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > BMW > M3,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > BMW > X1,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > BMW > X3,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > BMW > X4,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > BMW > X5,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > BMW > X6,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > BMW > Z4,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Buick > Cascada,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Buick > Enclave,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Buick > Encore,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Buick > LaCrosse,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Buick > Regal,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Buick > Verano,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Cadillac > ATS,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Cadillac > CTS,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Cadillac > Escalade,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Cadillac > Escalade ESV,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Cadillac > SRX,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Cadillac > XTS,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Chevrolet > Avalanche,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Chevrolet > Blazer,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Chevrolet > Camaro,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Chevrolet > Captiva Sport,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Chevrolet > Colorado,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Chevrolet > Corvette,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Chevrolet > Cruze,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Chevrolet > Equinox,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Chevrolet > Express,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Chevrolet > Impala,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Chevrolet > Malibu,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Chevrolet > Silverado,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Chevrolet > Sonic,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Chevrolet > Spark,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Chevrolet > Suburban,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Chevrolet > Tahoe,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Chevrolet > Traverse,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Chevrolet > Volt,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Chrysler > 200,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Chrysler > 200C,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Chrysler > 300,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Chrysler > Pacifica,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Chrysler > PT Cruiser,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Chrysler > Town & Country,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Dodge > Avenger,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Dodge > Caravan,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Dodge > Challenger,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Dodge > Charger,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Dodge > Dart,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Dodge > Durango,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Make & Model > Dodge > Journey,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
